        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202604101200,   1.018,   1.000,   0.000,  -0.018,   1.000,   0.000,   1.000,   0.000,   1.000
202604101206,   1.013,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101212,   1.009,   0.961,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101218,   1.007,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101224,   1.008,   0.961,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101230,   1.010,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101236,   1.014,   0.951,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101242,   1.021,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101248,   1.030,   0.961,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101254,   1.042,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101300,   1.056,9999.000,   0.000,9999.000,   1.056,   0.000,   1.056,   0.000,   1.056
202604101306,   1.073,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101312,   1.092,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101318,   1.114,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101324,   1.139,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101330,   1.166,   1.020,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101336,   1.196,   1.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101342,   1.228,   1.128,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101348,   1.262,   1.170,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604101354,   1.298,   1.200,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
